Title,Price,URL,Image
"Campera Botan","$69.990,00","https://www.batuk.com.ar/productos/Campera-Botan-2026/","https://acdn-us.mitiendanube.com/stores/006/301/693/products/bbp60fetn00-campera-botan-0-3-37cbf0258248a7068117817171065692-1024-1024.webp"
"Campera Wool","$69.990,00","https://www.batuk.com.ar/productos/Campera-Wool-2026/","https://acdn-us.mitiendanube.com/stores/006/301/693/products/bhp60fetn10-campera-azul-1-3f648cdc715d979cf717817880380027-1024-1024.webp"
"Campera Reversible","$49.990,00","https://www.batuk.com.ar/productos/campera-reversible/","https://acdn-us.mitiendanube.com/stores/006/301/693/products/bhp40fetn03-camel-1-8c8770a075f91963b017786819129148-1024-1024.webp"
"Campera Bernini","$69.990,00","https://www.batuk.com.ar/productos/Campera-Bernini-2026/","https://acdn-us.mitiendanube.com/stores/006/301/693/products/bbp60fetn04-campera-bernini-beige-30-3feb0f1e36c96f993817782644921184-1024-1024.webp"
"Campera Sibo","$69.990,00","https://www.batuk.com.ar/productos/Campera-Sibo/","https://acdn-us.mitiendanube.com/stores/006/301/693/products/bbp61fetn00-campera-sibo-azul-3-e518ebd4c825fe97aa17782633688006-1024-1024.webp"
"Campera Acebo","$69.990,00","https://www.batuk.com.ar/productos/Campera-Acebo/","https://acdn-us.mitiendanube.com/stores/006/301/693/products/bbp60fetn02-campera-acebo-beige-1-f4d2ab49a6f7ffa11f17782625080900-1024-1024.webp"
"Campera Walter","$69.990,00","https://www.batuk.com.ar/productos/Campera-Walter/","https://acdn-us.mitiendanube.com/stores/006/301/693/products/bbp60fetn01-campera-walter-azul-1-3834c9b779046051f917781825150661-1024-1024.webp"
"Campera Durero","$69.990,00","https://www.batuk.com.ar/productos/Campera-Durero-2026/","https://acdn-us.mitiendanube.com/stores/006/301/693/products/bbp61abrn01-tapado-durero-marron-0-e85c7b4870b708cc0317782551501256-1024-1024.webp"
"Piloto Bessy","$89.990,00","https://www.batuk.com.ar/productos/Piloto-Bessy/","https://acdn-us.mitiendanube.com/stores/006/301/693/products/bbp60fetn05-piloto-bessy-0-711c8f3569bcf68c9717782554650574-1024-1024.webp"
"Tapado Herbario","$69.990,00","https://www.batuk.com.ar/productos/Tapado-Herbario/","https://acdn-us.mitiendanube.com/stores/006/301/693/products/bbp60abrn00-saco-herbario-2-e72ada5d29c38cfb5817782557115774-1024-1024.webp"
"Campera Velazquez","$69.990,00","https://www.batuk.com.ar/productos/Campera-Velazquez/","https://acdn-us.mitiendanube.com/stores/006/301/693/products/bbp50fetn11-campera-velazquez-6-d249e7011dd204a90c17749637107504-1024-1024.webp"
"Campera Goya","$49.990,00","https://www.batuk.com.ar/productos/Campera-Goya/","https://acdn-us.mitiendanube.com/stores/006/301/693/products/bbp50fetn08-campera-goya-azul-1-ccca63d001e616f80a17749635215367-1024-1024.webp"
